target_block_id,block_e_index,block_n_index,sample_n,spatial_fold,e_min_m,n_min_m,e_max_m,n_max_m,geometry_wkt,crs,grid_size_m,grid_origin_e_m,grid_origin_n_m,fold_seed,fold_algorithm
E121_N646,121,646,1104,4,605000,3230000,610000,3235000,"POLYGON ((605000 3230000, 610000 3230000, 610000 3235000, 605000 3235000, 605000 3230000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E121_N647,121,647,1312,2,605000,3235000,610000,3240000,"POLYGON ((605000 3235000, 610000 3235000, 610000 3240000, 605000 3240000, 605000 3235000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E121_N648,121,648,208,4,605000,3240000,610000,3245000,"POLYGON ((605000 3240000, 610000 3240000, 610000 3245000, 605000 3245000, 605000 3240000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E122_N641,122,641,1404,0,610000,3205000,615000,3210000,"POLYGON ((610000 3205000, 615000 3205000, 615000 3210000, 610000 3210000, 610000 3205000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E122_N642,122,642,1295,4,610000,3210000,615000,3215000,"POLYGON ((610000 3210000, 615000 3210000, 615000 3215000, 610000 3215000, 610000 3210000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E122_N643,122,643,606,4,610000,3215000,615000,3220000,"POLYGON ((610000 3215000, 615000 3215000, 615000 3220000, 610000 3220000, 610000 3215000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E122_N644,122,644,1182,3,610000,3220000,615000,3225000,"POLYGON ((610000 3220000, 615000 3220000, 615000 3225000, 610000 3225000, 610000 3220000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E122_N645,122,645,1205,0,610000,3225000,615000,3230000,"POLYGON ((610000 3225000, 615000 3225000, 615000 3230000, 610000 3230000, 610000 3225000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E122_N646,122,646,1211,1,610000,3230000,615000,3235000,"POLYGON ((610000 3230000, 615000 3230000, 615000 3235000, 610000 3235000, 610000 3230000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E122_N647,122,647,2228,4,610000,3235000,615000,3240000,"POLYGON ((610000 3235000, 615000 3235000, 615000 3240000, 610000 3240000, 610000 3235000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E122_N648,122,648,531,1,610000,3240000,615000,3245000,"POLYGON ((610000 3240000, 615000 3240000, 615000 3245000, 610000 3245000, 610000 3240000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E122_N649,122,649,29,0,610000,3245000,615000,3250000,"POLYGON ((610000 3245000, 615000 3245000, 615000 3250000, 610000 3250000, 610000 3245000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E122_N650,122,650,3,4,610000,3250000,615000,3255000,"POLYGON ((610000 3250000, 615000 3250000, 615000 3255000, 610000 3255000, 610000 3250000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N639,123,639,202,0,615000,3195000,620000,3200000,"POLYGON ((615000 3195000, 620000 3195000, 620000 3200000, 615000 3200000, 615000 3195000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N640,123,640,133,1,615000,3200000,620000,3205000,"POLYGON ((615000 3200000, 620000 3200000, 620000 3205000, 615000 3205000, 615000 3200000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N641,123,641,870,1,615000,3205000,620000,3210000,"POLYGON ((615000 3205000, 620000 3205000, 620000 3210000, 615000 3210000, 615000 3205000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N642,123,642,2331,2,615000,3210000,620000,3215000,"POLYGON ((615000 3210000, 620000 3210000, 620000 3215000, 615000 3215000, 615000 3210000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N643,123,643,2179,2,615000,3215000,620000,3220000,"POLYGON ((615000 3215000, 620000 3215000, 620000 3220000, 615000 3220000, 615000 3215000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N644,123,644,750,2,615000,3220000,620000,3225000,"POLYGON ((615000 3220000, 620000 3220000, 620000 3225000, 615000 3225000, 615000 3220000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N645,123,645,1079,0,615000,3225000,620000,3230000,"POLYGON ((615000 3225000, 620000 3225000, 620000 3230000, 615000 3230000, 615000 3225000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N646,123,646,2436,4,615000,3230000,620000,3235000,"POLYGON ((615000 3230000, 620000 3230000, 620000 3235000, 615000 3235000, 615000 3230000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N647,123,647,1518,4,615000,3235000,620000,3240000,"POLYGON ((615000 3235000, 620000 3235000, 620000 3240000, 615000 3240000, 615000 3235000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N648,123,648,1633,2,615000,3240000,620000,3245000,"POLYGON ((615000 3240000, 620000 3240000, 620000 3245000, 615000 3245000, 615000 3240000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N649,123,649,1501,2,615000,3245000,620000,3250000,"POLYGON ((615000 3245000, 620000 3245000, 620000 3250000, 615000 3250000, 615000 3245000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N650,123,650,1917,2,615000,3250000,620000,3255000,"POLYGON ((615000 3250000, 620000 3250000, 620000 3255000, 615000 3255000, 615000 3250000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E123_N651,123,651,133,4,615000,3255000,620000,3260000,"POLYGON ((615000 3255000, 620000 3255000, 620000 3260000, 615000 3260000, 615000 3255000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N639,124,639,1,3,620000,3195000,625000,3200000,"POLYGON ((620000 3195000, 625000 3195000, 625000 3200000, 620000 3200000, 620000 3195000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N640,124,640,762,1,620000,3200000,625000,3205000,"POLYGON ((620000 3200000, 625000 3200000, 625000 3205000, 620000 3205000, 620000 3200000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N641,124,641,748,0,620000,3205000,625000,3210000,"POLYGON ((620000 3205000, 625000 3205000, 625000 3210000, 620000 3210000, 620000 3205000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N642,124,642,1454,4,620000,3210000,625000,3215000,"POLYGON ((620000 3210000, 625000 3210000, 625000 3215000, 620000 3215000, 620000 3210000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N643,124,643,2245,1,620000,3215000,625000,3220000,"POLYGON ((620000 3215000, 625000 3215000, 625000 3220000, 620000 3220000, 620000 3215000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N644,124,644,1683,4,620000,3220000,625000,3225000,"POLYGON ((620000 3220000, 625000 3220000, 625000 3225000, 620000 3225000, 620000 3220000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N645,124,645,1966,3,620000,3225000,625000,3230000,"POLYGON ((620000 3225000, 625000 3225000, 625000 3230000, 620000 3230000, 620000 3225000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N646,124,646,1705,3,620000,3230000,625000,3235000,"POLYGON ((620000 3230000, 625000 3230000, 625000 3235000, 620000 3235000, 620000 3230000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N647,124,647,2567,3,620000,3235000,625000,3240000,"POLYGON ((620000 3235000, 625000 3235000, 625000 3240000, 620000 3240000, 620000 3235000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N648,124,648,2095,0,620000,3240000,625000,3245000,"POLYGON ((620000 3240000, 625000 3240000, 625000 3245000, 620000 3245000, 620000 3240000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N649,124,649,2107,1,620000,3245000,625000,3250000,"POLYGON ((620000 3245000, 625000 3245000, 625000 3250000, 620000 3250000, 620000 3245000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N650,124,650,1523,2,620000,3250000,625000,3255000,"POLYGON ((620000 3250000, 625000 3250000, 625000 3255000, 620000 3255000, 620000 3250000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E124_N651,124,651,220,4,620000,3255000,625000,3260000,"POLYGON ((620000 3255000, 625000 3255000, 625000 3260000, 620000 3260000, 620000 3255000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N640,125,640,822,3,625000,3200000,630000,3205000,"POLYGON ((625000 3200000, 630000 3200000, 630000 3205000, 625000 3205000, 625000 3200000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N641,125,641,672,1,625000,3205000,630000,3210000,"POLYGON ((625000 3205000, 630000 3205000, 630000 3210000, 625000 3210000, 625000 3205000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N642,125,642,604,2,625000,3210000,630000,3215000,"POLYGON ((625000 3210000, 630000 3210000, 630000 3215000, 625000 3215000, 625000 3210000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N643,125,643,985,1,625000,3215000,630000,3220000,"POLYGON ((625000 3215000, 630000 3215000, 630000 3220000, 625000 3220000, 625000 3215000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N644,125,644,2988,1,625000,3220000,630000,3225000,"POLYGON ((625000 3220000, 630000 3220000, 630000 3225000, 625000 3225000, 625000 3220000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N645,125,645,2396,3,625000,3225000,630000,3230000,"POLYGON ((625000 3225000, 630000 3225000, 630000 3230000, 625000 3230000, 625000 3225000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N646,125,646,1774,2,625000,3230000,630000,3235000,"POLYGON ((625000 3230000, 630000 3230000, 630000 3235000, 625000 3235000, 625000 3230000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N647,125,647,1945,1,625000,3235000,630000,3240000,"POLYGON ((625000 3235000, 630000 3235000, 630000 3240000, 625000 3240000, 625000 3235000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N648,125,648,2443,4,625000,3240000,630000,3245000,"POLYGON ((625000 3240000, 630000 3240000, 630000 3245000, 625000 3245000, 625000 3240000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N649,125,649,1554,1,625000,3245000,630000,3250000,"POLYGON ((625000 3245000, 630000 3245000, 630000 3250000, 625000 3250000, 625000 3245000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N650,125,650,1057,2,625000,3250000,630000,3255000,"POLYGON ((625000 3250000, 630000 3250000, 630000 3255000, 625000 3255000, 625000 3250000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N651,125,651,399,2,625000,3255000,630000,3260000,"POLYGON ((625000 3255000, 630000 3255000, 630000 3260000, 625000 3260000, 625000 3255000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E125_N652,125,652,557,2,625000,3260000,630000,3265000,"POLYGON ((625000 3260000, 630000 3260000, 630000 3265000, 625000 3265000, 625000 3260000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E126_N640,126,640,348,1,630000,3200000,635000,3205000,"POLYGON ((630000 3200000, 635000 3200000, 635000 3205000, 630000 3205000, 630000 3200000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E126_N641,126,641,501,0,630000,3205000,635000,3210000,"POLYGON ((630000 3205000, 635000 3205000, 635000 3210000, 630000 3210000, 630000 3205000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E126_N642,126,642,773,3,630000,3210000,635000,3215000,"POLYGON ((630000 3210000, 635000 3210000, 635000 3215000, 630000 3215000, 630000 3210000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E126_N643,126,643,1356,4,630000,3215000,635000,3220000,"POLYGON ((630000 3215000, 635000 3215000, 635000 3220000, 630000 3220000, 630000 3215000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E126_N644,126,644,1413,1,630000,3220000,635000,3225000,"POLYGON ((630000 3220000, 635000 3220000, 635000 3225000, 630000 3225000, 630000 3220000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E126_N645,126,645,3249,0,630000,3225000,635000,3230000,"POLYGON ((630000 3225000, 635000 3225000, 635000 3230000, 630000 3230000, 630000 3225000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E126_N646,126,646,2883,2,630000,3230000,635000,3235000,"POLYGON ((630000 3230000, 635000 3230000, 635000 3235000, 630000 3235000, 630000 3230000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E126_N647,126,647,1804,1,630000,3235000,635000,3240000,"POLYGON ((630000 3235000, 635000 3235000, 635000 3240000, 630000 3240000, 630000 3235000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E126_N648,126,648,1296,3,630000,3240000,635000,3245000,"POLYGON ((630000 3240000, 635000 3240000, 635000 3245000, 630000 3245000, 630000 3240000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E126_N649,126,649,1337,0,630000,3245000,635000,3250000,"POLYGON ((630000 3245000, 635000 3245000, 635000 3250000, 630000 3250000, 630000 3245000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E126_N650,126,650,608,2,630000,3250000,635000,3255000,"POLYGON ((630000 3250000, 635000 3250000, 635000 3255000, 630000 3255000, 630000 3250000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E126_N651,126,651,521,4,630000,3255000,635000,3260000,"POLYGON ((630000 3255000, 635000 3255000, 635000 3260000, 630000 3260000, 630000 3255000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E127_N641,127,641,830,4,635000,3205000,640000,3210000,"POLYGON ((635000 3205000, 640000 3205000, 640000 3210000, 635000 3210000, 635000 3205000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E127_N642,127,642,1577,0,635000,3210000,640000,3215000,"POLYGON ((635000 3210000, 640000 3210000, 640000 3215000, 635000 3215000, 635000 3210000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E127_N643,127,643,1375,1,635000,3215000,640000,3220000,"POLYGON ((635000 3215000, 640000 3215000, 640000 3220000, 635000 3220000, 635000 3215000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E127_N644,127,644,1322,3,635000,3220000,640000,3225000,"POLYGON ((635000 3220000, 640000 3220000, 640000 3225000, 635000 3225000, 635000 3220000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E127_N645,127,645,1502,0,635000,3225000,640000,3230000,"POLYGON ((635000 3225000, 640000 3225000, 640000 3230000, 635000 3230000, 635000 3225000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E127_N646,127,646,2241,0,635000,3230000,640000,3235000,"POLYGON ((635000 3230000, 640000 3230000, 640000 3235000, 635000 3235000, 635000 3230000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E127_N647,127,647,2214,3,635000,3235000,640000,3240000,"POLYGON ((635000 3235000, 640000 3235000, 640000 3240000, 635000 3240000, 635000 3235000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E127_N648,127,648,1022,3,635000,3240000,640000,3245000,"POLYGON ((635000 3240000, 640000 3240000, 640000 3245000, 635000 3245000, 635000 3240000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E127_N649,127,649,421,2,635000,3245000,640000,3250000,"POLYGON ((635000 3245000, 640000 3245000, 640000 3250000, 635000 3250000, 635000 3245000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E127_N650,127,650,574,0,635000,3250000,640000,3255000,"POLYGON ((635000 3250000, 640000 3250000, 640000 3255000, 635000 3255000, 635000 3250000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E127_N651,127,651,69,3,635000,3255000,640000,3260000,"POLYGON ((635000 3255000, 640000 3255000, 640000 3260000, 635000 3260000, 635000 3255000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E128_N641,128,641,50,2,640000,3205000,645000,3210000,"POLYGON ((640000 3205000, 645000 3205000, 645000 3210000, 640000 3210000, 640000 3205000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E128_N642,128,642,1066,1,640000,3210000,645000,3215000,"POLYGON ((640000 3210000, 645000 3210000, 645000 3215000, 640000 3215000, 640000 3210000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E128_N643,128,643,2084,4,640000,3215000,645000,3220000,"POLYGON ((640000 3215000, 645000 3215000, 645000 3220000, 640000 3220000, 640000 3215000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E128_N644,128,644,1278,2,640000,3220000,645000,3225000,"POLYGON ((640000 3220000, 645000 3220000, 645000 3225000, 640000 3225000, 640000 3220000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E128_N645,128,645,1034,3,640000,3225000,645000,3230000,"POLYGON ((640000 3225000, 645000 3225000, 645000 3230000, 640000 3230000, 640000 3225000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E128_N646,128,646,815,4,640000,3230000,645000,3235000,"POLYGON ((640000 3230000, 645000 3230000, 645000 3235000, 640000 3235000, 640000 3230000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E128_N647,128,647,1481,3,640000,3235000,645000,3240000,"POLYGON ((640000 3235000, 645000 3235000, 645000 3240000, 640000 3240000, 640000 3235000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E128_N648,128,648,1850,4,640000,3240000,645000,3245000,"POLYGON ((640000 3240000, 645000 3240000, 645000 3245000, 640000 3245000, 640000 3240000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E128_N649,128,649,1225,1,640000,3245000,645000,3250000,"POLYGON ((640000 3245000, 645000 3245000, 645000 3250000, 640000 3250000, 640000 3245000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E128_N650,128,650,22,3,640000,3250000,645000,3255000,"POLYGON ((640000 3250000, 645000 3250000, 645000 3255000, 640000 3255000, 640000 3250000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E129_N643,129,643,933,2,645000,3215000,650000,3220000,"POLYGON ((645000 3215000, 650000 3215000, 650000 3220000, 645000 3220000, 645000 3215000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E129_N644,129,644,1627,1,645000,3220000,650000,3225000,"POLYGON ((645000 3220000, 650000 3220000, 650000 3225000, 645000 3225000, 645000 3220000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E129_N645,129,645,979,4,645000,3225000,650000,3230000,"POLYGON ((645000 3225000, 650000 3225000, 650000 3230000, 645000 3230000, 645000 3225000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E129_N646,129,646,961,0,645000,3230000,650000,3235000,"POLYGON ((645000 3230000, 650000 3230000, 650000 3235000, 645000 3235000, 645000 3230000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E129_N647,129,647,600,4,645000,3235000,650000,3240000,"POLYGON ((645000 3235000, 650000 3235000, 650000 3240000, 645000 3240000, 645000 3235000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
